company,# applications,avg_wages
GUCCI AMERICA,1,"$47,250"
INDUS CAPITAL PARTNERS,1,"$150,000"
INDUS VALLEY,1,"$78,000"
INDUS VALLEY CONSULTANTS,1,"$61,000"
GUARDIAN NEWS MEDIA,1,"$168,000"
GUARDHILL FINANCIAL CORPORATION,1,"$47,500"
INDUSTRIAL COLOR,1,"$90,000"
GTSS,1,"$72,000"
GSSR,1,"$90,000"
GRUPPO STILE,1,"$45,760"
GROVO LEARNING,1,"$75,000"
INDUSTRY,1,"$52,000"
GROUPM WORLWIDE,1,"$180,000"
INFINATA,1,"$83,300"
INFINITY CONSULTING SOLUTIONS,1,"$156,000"
INFINITY MANAGEMENT,1,"$40,082"
INFINITY NORTH AMERICA,1,"$50,000"
GROUPE INTERNATIONAL,1,"$130,000"
INFO LABS,1,"$74,000"
GURUS INFOTECH,1,"$67,621"
INARI,1,"$105,000"
IMPLIFY,1,"$71,510"
IMAGEON CONSULTING,1,"$55,994"
HAMOWY CONIGLIARO ASSOCIATES,1,"$75,000"
IGNITIONONE,1,"$59,738"
IKAS INTERNATIONAL,1,"$62,500"
IKNOWVATE TECHNOLOGIES,1,"$62,250"
HALSEY MCCORMACK HELMER,1,"$63,000"
ILBSG,1,"$50,000"
HALACH GOLD,1,"$58,760"
ILKUN CORP,1,"$46,800"
"ILO, LLC",1,"$81,800"
HAKUNA,1,"$50,000"
ILSC,1,"$40,000"
ILUMINAGE BEAUTY,1,"$130,000"
HAKKASAN HOLDINGS,1,"$85,000"
IMAGINARY FORCES,1,"$75,000"
IMPEX,1,"$62,442"
IMAGINATION AMERICAS,1,"$67,829"
IMAGINE EASY SOLUTIONS,1,"$55,000"
HAILEY DEVELOPMENT GROUP,1,"$110,000"
HAHN KOOK CENTER,1,"$44,824"
HAGAN BURNS C,1,"$54,642"
IMBEKO,1,"$122,845"
GYRO,1,"$60,000"
GUTENBERG COMMUNICATIONS,1,"$135,300"
IMMTECH PHARMACEUTICALS,1,"$61,000"
IMMUNE PHARMACEUTICALS,1,"$87,360"
IMOWITZ KOEING,1,"$54,642"
GURWITCH PRODUCTS,1,"$118,085"
IMPELSYS,1,"$100,000"
GROUP WORLD,1,"$44,824"
INFO SOLUTIONS,1,"$65,000"
INFOBEAN,1,"$75,755"
GRAYCLIFF PARTNERS,1,"$110,000"
GREEN CAPITAL MANAGEMENT,1,"$120,000"
INMOBI,1,"$87,150"
GREEK ORTHODOX ARCHDIOCESE AMERICA,1,"$62,000"
INNOVATE CORP,1,"$45,000"
INNOVATECH SOLUTIONS,1,"$70,000"
INNOVATION,1,"$115,000"
GREATEST GOOD,1,"$159,072"
INNOVYX,1,"$74,000"
INOUE REALTY,1,"$41,142"
GREAT OAKS CHARTER SCHOOL,1,"$55,245"
INSENSI,1,"$100,000"
GREAT CIRCLE MANAGEMENT COMPANY,1,"$115,000"
GRCD,1,"$107,817"
INSIGHT STRATEGY ADVISORS,1,"$118,664"
GREEN EDUCATION SERVICES,1,"$60,362"
INSIGHT STRATEGY GROUP,1,"$85,000"
INSIGHTLAB PACIFIC,1,"$59,738"
INSTANT VINTAGE,1,"$85,000"
GRANT THORNTON NORTHEAST,1,"$75,474"
GRAND RIVER INSURANCE AGENCY,1,"$110,000"
INSTITUTE AUDIO RESEARCH,1,"$58,198"
INSTITUTE COMMUNITY LIVING,1,"$58,000"
INSTITUTE ECONOMIC THINKING,1,"$55,000"
GRAHAM ARADER,1,"$48,000"
INSTITUTE INTERNATIONAL RESEARCH,1,"$90,000"
INSTITUTE TRANSPORTATION DEVELOPMENT POLIC,1,"$78,000"
GOVERNMENT SYSTEMS TECHNOLOGIES,1,"$61,000"
INSTITUTIONAL CAPITAL NETWORK,1,"$137,500"
INFOWEB SYSTEMS,1,"$90,000"
GREEN VALLEY,1,"$227,500"
INFOBIZ SYSTEMS,1,"$56,597"
INFORMATICA CORPORATION,1,"$112,154"
GROUP TRADING,1,"$150,000"
INFODAT INTERNATIONAL,1,"$62,400"
GROUP NORTH AMERICA,1,"$51,518"
GROUP MANAGEMENT,1,"$40,100"
GROUP GORDON,1,"$43,100"
INFOLABS,1,"$72,000"
GROUP CAPITAL,1,"$52,582"
INFOLOGITECH,1,"$96,000"
GROUNDLINK HOLDINGS,1,"$147,000"
INFOMERICA,1,"$60,362"
INFOPRO DIGITAL,1,"$104,291"
GROCERY DELIVERY SERVICES,1,"$105,726"
INFORMATIC TECHNOLOGIES,1,"$65,000"
GRIMSHAW,1,"$105,000"
GREENBERG FARROW ARCHITECTURE,1,"$55,000"
INFORMATION RESOURCES,1,"$69,412"
GREYCELL LABS,1,"$66,000"
INFORMATION SYSTEMS,1,"$124,800"
INFORMATION TECHNOLOGY,1,"$74,360"
INFOSMART SYSTEMS,1,"$67,000"
INFOSOFT,1,"$91,104"
INFOSPAN TECHNOLOGIES,1,"$72,000"
GRETEL,1,"$118,000"
INFOSYS,1,"$87,000"
GRESHAM INVESTMENT MANAGEMENT,1,"$37,111"
INFOSYS SOLUTIONS,1,"$72,000"
GREENWICH ENERGY SOLUTIONS,1,"$63,500"
GREENHOUSE SOFTWARE,1,"$45,000"
HANA BANK,1,"$40,000"
HANA BANK NATIONAL ASSOCIATION,1,"$42,000"
INSTITUTIONAL LIFE SERVICES,1,"$72,500"
IDEXX REFERENCE LABORATORIES,1,"$105,000"
HEDGEOP COMPLIANCE,1,"$76,500"
HEDGEABLE,1,"$250,000"
HOKUTO INTERNATIONAL,1,"$54,746"
HOLDINGS A YORK POST,1,"$90,000"
HEARST TELEVISION,1,"$195,000"
HEARST COMMUNICATIONS HEARST MAGAZINES DIVISI,1,"$118,119"
HEALTHSTAR,1,"$117,000"
HEALTHFUSION,1,"$82,500"
HEALTHCOR PARTNERS MANAGEMENT,1,"$100,000"
HOME LOANS SERVICING BANK AMERICA,1,"$160,000"
HEALTHCARE IITS CORP,1,"$95,000"
HEALTH PARTNERS,1,"$131,500"
HOMEHUB,1,"$47,486"
HOMELEGANCE TITAN IMPORTERS,1,"$42,286"
HOMEPOLISH,1,"$37,128"
HEALTH GLOBAL ACCESS PROJECT,1,"$70,000"
HEALING TOUCH PHYSICAL THERAPY,1,"$105,000"
HEALING THERAPEUTICS PHYSICAL THERAPY PLLC,1,"$73,000"
HOPSCOTCH TECHNOLOGIES,1,"$80,000"
HORIZON INNOVATIONS,1,"$72,987"
HORIZON INTERNATIONAL TRADING,1,"$74,880"
HORNBLOWER YORK,1,"$44,824"
HORTON LEES BROGDEN LIGHTING DESIGN,1,"$44,543"
HOSPITALITY GROUP,1,"$50,000"
HOST COMMITTEE,1,"$120,000"
HAYNES ROBERTS,1,"$75,000"
HOTEL INSIDER,1,"$127,146"
HOTEL PENNSYLVANIA,1,"$69,317"
HOTEL TRADES COUNCIL HOTEL ASSOC EMPLO,1,"$64,792"
HEIFER PROJECT INTERNATIONAL,1,"$65,137"
"HLR, INC.",1,"$110,000"
HITACHI DATA SYSTEMS CORPORATION,1,"$186,202"
HIGHLINE UNITED,1,"$55,000"
HEXACORP,1,"$82,500"
HEXAIDER TECHNOLOGIES,1,"$56,600"
HERZL,1,"$44,824"
HERMES TECHNOLOGIES,1,"$71,510"
HERCULES GROUP,1,"$76,000"
HIGHBEAM,1,"$130,000"
HERBERT SMITH FREEHILLS YORK,1,"$185,000"
HENSON GROUP,1,"$82,389"
HIGHBRIDGE YORK,1,"$41,600"
HENRY MYERBERG,1,"$80,000"
HIGHER EDGE MARKETING SERVICES,1,"$89,378"
HENNES,1,"$62,275"
HIGHLAND CAPITAL GROUP,1,"$108,763"
HENG WANG ASSOCIATES,1,"$83,200"
HITACHI CONSULTING SOFTWARE SERVICES,1,"$94,141"
HIGHTOWER,1,"$130,000"
HILL CAPITAL MANAGEMENT,1,"$120,000"
HILL KNOWLTON STRATEGIES,1,"$62,000"
HILLMANN DIBERNARDO ASSOCIATES,1,"$40,685"
HILLS LEARNING,1,"$52,000"
HELLO STASH,1,"$82,000"
HIMA INTERNATIONAL,1,"$45,760"
HIPERCEPT SOLUTIONS,1,"$132,000"
HELLO,1,"$51,000"
HIRE PEOPLE,1,"$88,400"
HIRSHMARK CAPITAL,1,"$50,960"
HISCOX,1,"$96,000"
HEINLYN,1,"$40,560"
HOTELBEDS,1,"$128,000"
HOTELIED,1,"$52,000"
HOTELS,1,"$72,000"
HANUSOFT,1,"$60,000"
HARBINGER GROUP,1,"$229,000"
HYUNDAI AMERICA CORP,1,"$37,440"
I28 TECHNOLOGIES CORPORATION,1,"$60,000"
HARARE,1,"$74,880"
IACQUIRE,1,"$44,824"
IAPPAREL,1,"$95,000"
HAPPY VACATIONS,1,"$54,642"
IBISWORLD,1,"$51,000"
IBLESOFT,1,"$162,500"
ICED MEDIA,1,"$70,000"
ICER BRANDS SERVICES,1,"$38,000"
ICOA GROUP,1,"$62,000"
ICODIA,1,"$58,072"
HANU SOFTWARE SOLUTIONS,1,"$80,995"
HARBURG FOUNDATION,1,"$50,960"
ICONIX BRAND GROUP,1,"$44,616"
ICONSOFT CONSULTING GROUP,1,"$60,362"
HANOVER VENTURES,1,"$45,000"
ICRA SAPPHIRE,1,"$100,320"
HANOVER SEARCH,1,"$60,000"
ICROSSING,1,"$101,072"
"ICV, INC.",1,"$61,214"
IDEA NUOVA,1,"$62,000"
HANIA ANYA COLE,1,"$45,989"
IDENTIFY,1,"$66,000"
HANCE INCORPORATED,1,"$72,994"
HANA MART CORP,1,"$72,800"
HANA C,1,"$54,642"
HARBOUR INTERNATIONAL,1,"$45,000"
HYATT CORPORATION,1,"$80,832"
HOUND PARTNERS,1,"$75,000"
HUDSON TECHNOLOGIES COMPANY,1,"$66,200"
HOUSE,1,"$47,000"
HAVEN COMMUNITY FOUNDATION,1,"$91,751"
HAVE DREAM FOUNDATION,1,"$107,245"
HAUTE HIPPIE ENTERPRISE,1,"$75,000"
HRSH ACQUISITIONS,1,"$65,000"
HATHERSAGE CAPITAL MANAGEMENT,1,"$120,000"
HUAJING GROUP CORP,1,"$48,006"
HUDSON ADVISORS,1,"$125,000"
HARTZ HOTEL SERVICES,1,"$82,500"
HART HOWERTON PARTNERS,1,"$42,000"
HARRY WINSTON,1,"$70,000"
HARRISON GREEN,1,"$52,000"
HARRIS PUBLICATIONS,1,"$56,600"
HUEGROUP,1,"$72,883"
HARDIE CONSULTING GROUP,1,"$42,162"
HARRIS BEACH PLLC,1,"$95,313"
HARNIK FIRM,1,"$82,472"
HULT INTERNATIONAL BUSINESS SCHOOL,1,"$128,000"
HUMAN,1,"$85,000"
HUMAN RIGHTS FOUNDATION,1,"$45,000"
HARLEY COMMUNICATIONS,1,"$45,000"
HARLEM SUCCESS ACADEMY CHARTER SCHOOL 3,1,"$51,680"
HUMETIS TECHNOLOGIES,1,"$72,800"
HARLEM CHILDREN ZONE,1,"$45,500"
HUNTON WILLIAMS,1,"$175,000"
HURIX SYSTEMS,1,"$66,828"
HURON CONSULTING SERVICES,1,"$115,500"
HARDSOFT SOLUTIONS,1,"$90,000"
GOVERNMENT SINGAPORE INVESTMENT CORPORATION,1,"$144,500"
INSURANCE COMPANY,1,"$85,000"
GARD,1,"$165,651"
GLOBAL AMBICION GROUP,1,"$44,824"
JACHS,1,"$54,642"
JACKPOCKET,1,"$65,000"
GIBNEY ANTHONY FLAHERTY,1,"$88,000"
JACOB FEINBERG KATZ MICHAELI CONSULTING GROUP,1,"$51,000"
"GFT USA, INC.",1,"$85,000"
JACOBS PROJECT MANAGEMENT COMPANY,1,"$116,015"
JADE ASSOCIATES YORK,1,"$72,000"
JADED JEWELS,1,"$45,000"
GF55 PARTNERS,1,"$40,000"
JAITRA,1,"$110,000"
JAM INC,1,"$65,000"
JAMES CARPENTER DESIGN ASSOCIATES,1,"$41,101"
GERVAISE GERSTNER,1,"$46,800"
JAMES FITZGERALD,1,"$49,150"
JAMES MINTZ GROUP,1,"$125,000"
GERSTEIN FISHER ASSOCIATES,1,"$67,205"
JAMES TSEMPELIS PLLC,1,"$54,642"
GERSON SAINES MANAGEMENT,1,"$47,500"
GERNER KRONICK VALCARCEL ARCHITECTS,1,"$41,101"
GEORGE SEXTON,1,"$82,000"
GEORG BLOOM FURNITURE,1,"$44,824"
JANITORIAL SERVICES NORTHEAST,1,"$42,162"
JANKLOW NESBIT ASSOCIATES,1,"$41,000"
JANOU PAKTER,1,"$44,000"
JANSON GOLDSTEIN,1,"$57,000"
JAPAN FOUNDATION YORK,1,"$48,177"
GEOMETRY GLOBAL,1,"$53,000"
JAPOND RESTAURANT,1,"$105,000"
GEOENVIRONMENTAL,1,"$63,794"
IWANT2020,1,"$40,082"
GIDDY APPS,1,"$80,000"
GIGA OMNI MEDIA,1,"$84,000"
GIVEN OPINIONS,1,"$45,760"
GLICKMAN ENGINEERING ASSOCIATES PLLC,1,"$95,000"
GLEEDS YORK,1,"$50,000"
IRISH AMERICA,1,"$40,726"
GLEEDS,1,"$50,000"
IRONSHORE INSURANCE SERVICES,1,"$52,281"
ISADORA DUNCAN FOUNDATION CONTEMPORARY DANCE,1,"$45,469"
ISETAN MITSUKOSHI,1,"$43,000"
ISHAR FIRM,1,"$45,000"
GLAMOUR KILLS CLOTHING,1,"$44,824"
GLAM MEDIA,1,"$65,000"
ISOFTSTONE,1,"$70,050"
ISPACE,1,"$65,000"
ISRAEL,1,"$200,000"
GIVAUDAN FRAGRANCES CORPORATION,1,"$200,000"
GIKA,1,"$74,000"
GIULIETTA,1,"$80,000"
ITALIAN AMERICAN COMMITTEE EDUCATION,1,"$53,410"
ITALIAN QUALITY STANDARD,1,"$44,637"
ITAU ASSET MANAGEMENT,1,"$185,000"
GINA GROUP,1,"$65,000"
ITAU UNIBANCO,1,"$75,900"
ITCAPS,1,"$79,040"
ITCONSULTINGSERVICES,1,"$60,000"
GILT TRAVEL,1,"$225,000"
ITG INC,1,"$150,000"
ITHAKA HARBORS,1,"$63,000"
ITRENDZ,1,"$60,000"
IVAN DAVID ENGINEERS ASSOCIATES,1,"$61,526"
JAVEN TECHNOLOGIES,1,"$72,000"
GENOMEWEB,1,"$54,621"
JAZZ LINCOLN CENTER,1,"$37,086"
GARY SILVER ARCHITECTS,1,"$54,080"
JINHONG CULTURAL DEVELOPMENT,1,"$37,128"
GELMART INDUSTRIES,1,"$67,829"
JIREH SOLUTIONS,1,"$73,000"
JIWIRE,1,"$78,000"
"JKR, INC.",1,"$87,000"
GAZELLE GLOBALIZATION GROUP,1,"$48,000"
JOAN FLEISCHMAN,1,"$149,760"
JODY WILLIAMS,1,"$52,000"
GAVS TECHNOLOGIES,1,"$82,461"
JOHN,1,"$85,000"
GAVIN BROWN ENTERPRISE CORP,1,"$47,152"
GATEWOOD CAPITAL PARTNERS,1,"$82,000"
GATES,1,"$55,000"
GARY GUERRIERO PTPC,1,"$38,875"
JILL STUART INTERNATIONAL,1,"$112,500"
JOHN WAITE ASSOCIATES ARCHITECTS PLLC,1,"$55,411"
JOHNMAN INC KARAOKE CHAMP,1,"$62,400"
JOHNNY FASHION STUDIO CORP,1,"$45,000"
JOHNSON CAPITAL GROUP,1,"$44,824"
JOHNSON JOHNSON,1,"$118,000"
JOHNSON JOHNSON CONSUMER COMPANIES,1,"$148,500"
JOJAN PHARMA,1,"$50,253"
JOLLY HOTELS,1,"$82,282"
GARTNER,1,"$231,000"
GARIS HAHN,1,"$55,000"
GARGIULO COMPANY,1,"$38,272"
GARGANIGO GOLDSMITH WEISS,1,"$41,558"
JONES GROUP,1,"$66,000"
JIMMY CRYSTAL,1,"$38,397"
JIJI PRESS AMERICA,1,"$40,352"
JBS LTD.,1,"$40,357"
JENNIFER FISHERMAN RUFF COMMUNICATIONS,1,"$170,000"
JCDECAUX NORTH AMERICA,1,"$60,000"
JEAN DESIGN,1,"$55,000"
GENNX360 MANAGEMENT COMPANY,1,"$150,000"
GENIOO,1,"$110,000"
GENESIS TECHSYSTEMS,1,"$75,000"
GENERALI BRANCH,1,"$54,642"
GENERAL TOOLS INSTRUMENTS COMPANY,1,"$55,000"
JEFFREY BEERS INTERNATIONAL,1,"$68,000"
GENERAL SYNOD COUNCIL REFORMED CHURCH,1,"$64,682"
GENERAL STEEL HOLDINGS,1,"$67,205"
GENERAL REINSURANCE CORPORATION,1,"$118,000"
JENNAS,1,"$73,674"
JENNIFER COMPANY ACCESSORIES,1,"$37,128"
GENERAL BOARD GLOBAL MINISTRIES,1,"$66,941"
JIBE,1,"$145,000"
JEPPESEN SANDERSON,1,"$96,447"
JESE APPAREL,1,"$50,000"
JETRO JAPAN EXTERNAL TRADE ORGANIZATION,1,"$80,000"
GENERAL ASSEMBLY SPACE,1,"$80,000"
JEWEL SOURCE,1,"$67,205"
GENE RESEARCH LABORATORIES,1,"$120,000"
GEMS AMERICAS,1,"$60,000"
JEWELRY WHOLESALE,1,"$62,400"
GEMOLOGICAL APPRAISAL ASSOCIATION,1,"$72,987"
JEWISH COUNCIL PUBLIC AFFAIRS,1,"$52,350"
JEWISH HOME LIFECARE,1,"$67,709"
JEWISH MUSEUM,1,"$39,998"
JEWISH NATIONAL FUND KEREN KAYEMETH LEISRAEL,1,"$80,000"
GLIMMER,1,"$46,500"
IONIC CAPITAL MANAGEMENT,1,"$80,000"
GOTTEX FUND MANAGEMENT,1,"$55,000"
IONIAN MANAGEMENT,1,"$68,000"
INTERCORP,1,"$45,989"
GOLDSTEIN HILL WEST ARCHITECTS,1,"$45,000"
GOLDSTAR INDEPENDENT,1,"$75,000"
INTEREXCHANGE,1,"$54,850"
GOLDMAN SACHS JERSEY,1,"$92,400"
INTERGOLD,1,"$65,000"
GOLDMAN ADVISORS,1,"$100,000"
GOLDENTREE ASSET MANAGMENT,1,"$145,000"
GOLDEN PROMISE EQUIPMENT,1,"$62,712"
GOLDBERG LINDSAY,1,"$200,000"
GOLD TIME INTERNATIONAL,1,"$64,480"
INTERNATIOAL,1,"$48,006"
GOHAN SOCIETY,1,"$40,082"
GOGOMIXCOM,1,"$41,662"
INTERNATIONAL ACCOUNTING,1,"$50,960"
INTERNATIONAL ACCOUNTING CONSULTANTS,1,"$54,642"
INTERNATIONAL BUSINESS SOLUTIONS,1,"$71,510"
INTERNATIONAL CHAUFFEURED SERVICE,1,"$56,597"
INTERNATIONAL DIAMOND DISTRIBUTORS,1,"$132,000"
INTERNATIONAL FASHION CONCEPTS,1,"$42,661"
INTERNATIONAL FASHION SHOWS,1,"$110,240"
GLOW MEDIA MARKETING,1,"$37,919"
INTERNATIONAL FEDERATION HUMAN RIGHTS,1,"$72,500"
INTERNATIONAL FINANCE,1,"$137,500"
GLOW INTERACTIVE,1,"$87,500"
GLOGAL ASSET MANAGEMENT,1,"$164,500"
INTERNATIONAL HEALTHCARE LEADERSHIP,1,"$60,029"
INTERNATIONAL INSPIRATIONS,1,"$79,851"
INTERNATIONAL INSTITUTE LEARNING,1,"$66,000"
GOOD,1,"$42,432"
GOOD APPLE PUBLISHING,1,"$44,824"
GOOD MORNING JEWELRY CORP,1,"$47,840"
INTELLECTPEOPLE TECHNOLOGIES,1,"$60,000"
GOTHAM GROUP,1,"$225,000"
GOTHAM CONSULTING PARTNERS,1,"$159,758"
INTEGRATED INFO SYSTEMS,1,"$100,000"
INTEGRATED MANAGEMENT SOLUTIONS,1,"$52,582"
GOTHAM,1,"$44,000"
INTEGRATED MEDIA SOLUTIONS PARTNERS,1,"$50,000"
INTEGRATED PROJECT DELIVERY PARTNERS,1,"$71,594"
GORRIVAN FINE ARTS,1,"$91,000"
INTEGRITY TOYS,1,"$71,500"
INTEGRO,1,"$125,000"
INTEL AMERICA,1,"$112,195"
INTELLECT BUSINESS SOLUTIONS,1,"$75,500"
INTELLECT TECHNOLOGIES,1,"$80,000"
INTELLIGEN POWER SYSTEMS,1,"$66,560"
INTERACTIVE MEDIA HOLDINGS,1,"$105,000"
GORGEOUS ENTERTAINMENT,1,"$52,000"
INTELLIGENCE INCORPORATED,1,"$85,065"
INTELLISOFT TECHNOLOGIES,1,"$61,000"
GOOP,1,"$110,000"
INTER INSURANCE AGENCY SERVICES,1,"$45,989"
INTER PARFUMS,1,"$80,000"
GOODWIN PROCTOR,1,"$210,000"
INTERACTIVE BROADBAND CONSULTING GROUP,1,"$99,715"
INTERACTIVE BUSINESS SERVICES,1,"$65,000"
INTERACTIVE DATA CORPORATION,1,"$115,000"
INTERACTIVE DATA MANAGED SOLUTIONS,1,"$160,000"
GOODWIN PROCTER,1,"$210,000"
GOODBODY,1,"$120,000"
INTERNATIONAL INSURANCE CONSULTANTS,1,"$90,000"
INTERNATIONAL INVESTMENT GROUP,1,"$73,830"
GLOBEX INTERNATIONAL,1,"$141,440"
GLOBAL CORP,1,"$42,000"
GLOBAL HEALTH STRATEGIES,1,"$53,000"
INTRINSIC INVESTORS,1,"$125,000"
INTUARY,1,"$110,000"
GLOBAL FINANCE MEDIA,1,"$82,514"
INVAR INTERNATIONAL,1,"$200,000"
INVENSYS,1,"$60,000"
GLOBAL EXPRESS INTERNATIONAL,1,"$44,824"
INVENTIV MEDICAL COMMUNICATIONS,1,"$70,000"
GLOBAL EXPRESS,1,"$47,486"
INVESHARE,1,"$45,323"
GLOBAL EMPIRE,1,"$38,688"
INVESTEC ASSET MANAGEMENT NORTH AMERICA,1,"$64,869"
INVESTEC SECURITIES,1,"$215,250"
GLOBAL CONTACTS INCORPORATED,1,"$62,400"
INTO GLOSS,1,"$103,355"
GLOBAL CONSULTANCY HOUSE,1,"$200,000"
GLOBAL ATLANTIC SERVICE COMPANY,1,"$175,000"
GLOBAL ATLANTIC PARTNERS,1,"$78,050"
GLOBAL ATLANTIC FINANCIAL COMPANY,1,"$150,000"
GLOBAL ASSOCIATES,1,"$60,000"
INVESTORS MIDSTREAM,1,"$275,000"
INVICKTUS,1,"$57,000"
INVISION,1,"$107,000"
GLOBAL ARENA CAPITAL CORP,1,"$68,000"
GLOBAL AMERICAN STAFFING,1,"$56,597"
INWINDOW OUTDOOR,1,"$38,626"
INWOOD PHARMA,1,"$55,000"
IOMEDIA,1,"$55,500"
INTRAEDGE,1,"$63,000"
INTL SERVICE OPTIMIZATION,1,"$72,000"
INTERNATIONAL MARKETS,1,"$62,546"
GLOBAL STRATEGIC ASSOCIATES,1,"$54,467"
GLOBALWORKS GROUP,1,"$62,000"
INTERNATIONAL PHOTOGRAPHY SERVICES,1,"$100,000"
INTERNATIONAL PLACEMENT CONSULTANTS,1,"$42,162"
INTERNATIONAL PRESCHOOLS,1,"$38,000"
GLOBAL WORKS GROUP,1,"$56,200"
INTERNATIONAL RESOURCES,1,"$48,173"
INTERNATIONAL SCHOOL DESIGN,1,"$37,128"
GLOBAL THERMOSTAT OPERATIONS,1,"$45,000"
INTERNATIONAL SERVICES,1,"$70,000"
INTERNATIONAL SOCIETY PERFORMING ARTS FOUN,1,"$40,500"
INTERNATIONAL SOFTWARE SOLUTIONS,1,"$60,000"
GLOBAL THEMATIC PARTNERS HOLDINGS,1,"$100,000"
GLOBAL SUMI TECHNOLOGIES,1,"$72,000"
INTERNATIONAL SWAPS DERIVATIVES ASSOCIATION,1,"$90,000"
GLOBAL INFOTECH,1,"$70,000"
GLOBAL SOLUTIONS,1,"$110,000"
GLOBAL NEST,1,"$60,000"
INTERNATIONAL TOURS,1,"$44,824"
GLOBAL MAXIMUM EDUCATIONAL OPPORTUNITIES,1,"$36,504"
INTERNATIONL,1,"$45,000"
INTERNET SECURITIES,1,"$100,000"
INTERNET TELEPHONE PROVIDER,1,"$74,880"
INTERSYSTEMS CORPORATION,1,"$111,000"
INTERTEX INC,1,"$61,568"
GLOBAL MAXIMUM EDUCATION OPPORTUNITIES,1,"$40,000"
INTESA SANPAOLO,1,"$70,510"
GLOBAL MANAGEMENT COMPANY,1,"$70,000"
GLOBAL JUSTICE CENTER,1,"$65,000"
MASTERMIND EDUCATIONAL SERVICES,1,"$80,000"
MATCH,1,"$175,000"
MATCHBOOK,1,"$68,000"
PADDLE8,1,"$48,000"
PARK ASSIST,1,"$90,000"
PARK STREET VENTURES,1,"$55,000"
PARKER MERIDIEN YORK,1,"$60,000"
PARKVIEW,1,"$100,000"
COTY PRESTIGE DIVISION COTY,1,"$71,300"
COTY BEAUTY DIVISION COTY,1,"$103,000"
COSMO COMPUTER,1,"$72,500"
PARSONS TRANSPORTATION GROUP,1,"$61,526"
PARTE LIMITED LIABILITY COMPANY,1,"$78,000"
COSMIC FISCHER LOCKS,1,"$44,824"
PARTNERS COMPUTING SERVICES INTERNATIONAL,1,"$60,000"
PARTNERS GROUP,1,"$106,000"
PARTS LABOR DESIGN 2009 CORP,1,"$62,400"
COSENTINI ASSOCIATES,1,"$70,000"
CORRA TECHNOLOGY,1,"$113,664"
PATH INTERACTIVE,1,"$57,000"
PATMOS DESIGN,1,"$41,600"
PATTERSON BELKNAP WEBB TYLER,1,"$160,000"
PAUL ANDREW DESIGN,1,"$70,000"
CORPORATE SOLUTIONS GROUP,1,"$80,000"
CORNERSTONE PROMOTION,1,"$50,000"
PAULA MARTHA,1,"$53,040"
PAULANER BRAUHAUS RESTAURANT,1,"$95,000"
CORGAN ASSOCIATES,1,"$75,000"
PAYFONE,1,"$90,000"
CORE TECHNOLOGIES,1,"$90,000"
CORE COLLABORATION GROUP,1,"$72,000"
PEAK GROUP,1,"$66,500"
CORBIN HILLMAN COMMUNICATIONS,1,"$41,000"
PARK,1,"$48,000"
PARIS BAGUETTE AMERICA,1,"$58,011"
PARIS,1,"$58,240"
PANSTAR MANAGEMENT CORP,1,"$47,653"
PAGESCIENCE,1,"$52,037"
PAGEVAMP,1,"$45,000"
PAGNAMENTA AGENCY,1,"$78,000"
PALACE,1,"$70,000"
CREATIVE LICENCE DIGITAL,1,"$90,000"
PALLADIUM CAPITAL MANAGEMENT,1,"$90,000"
PALVAI GLOBAL SERVICES,1,"$60,000"
PAMEDGE,1,"$64,720"
CREATIVE CURRICULUM INITIATIVES,1,"$100,000"
CREATIVE CORP,1,"$37,128"
PANDA LAIR,1,"$114,400"
PANDIT THOMAS C,1,"$54,642"
PANOPEN,1,"$45,000"
CRAFT TRANSLATION,1,"$46,000"
COUNTER CULTURE COFFEE,1,"$45,000"
"CQS (US), LLC",1,"$200,000"
CPSG PARTNERS,1,"$150,000"
CPAS,1,"$63,981"
PAPERLESS POST,1,"$80,000"
PARADIGM SOFTWARE TECHNOLOGIES,1,"$50,000"
COYLE CONSTRUCTION CORP,1,"$100,000"
PARALLAX CENTER,1,"$36,525"
COVINGTON BURLING,1,"$160,000"
COVERAGE,1,"$52,582"
PARETO SECURITIES,1,"$90,000"
COVER SYSTEMS,1,"$150,800"
COVENANT HOUSE,1,"$65,000"
COUP ENTERTAINMENT,1,"$75,000"
CORBETT ACCEL HEALTHCARE GROUP YORK,1,"$101,921"
COPY SMITH COLLECTIVE,1,"$52,000"
COOPER ROBERTSON PARTNERS,1,"$61,550"
PHARMA CARE,1,"$58,531"
CONSULTING LIMITED,1,"$82,659"
CONSULTING ENGINEERS,1,"$82,000"
PERSONALIZED BEAUTY DISCOVERY,1,"$120,942"
CONSULTING ENGINEERING GROUP,1,"$150,000"
CONSULTANTS CORPORATION,1,"$86,403"
CONSTRUCTION MANAGEMENT CORPORATION,1,"$62,400"
PETER POON ARCHITECT,1,"$66,000"
CONSTRUCTION CONSULTING,1,"$79,000"
PETER THOMAS ROTH,1,"$49,000"
PETER THOMAS ROTH LABS,1,"$62,000"
PETRARCH,1,"$50,000"
PETROLEUM INDUSTRY RESEARCH ASSOCIATES,1,"$80,000"
CONSTANTIN ASSOCIATES,1,"$96,804"
PHARMACY,1,"$50,300"
CONSUMER PARTNERS,1,"$175,000"
PHARMACY CORP,1,"$56,100"
PHARMALINK CONSULTING,1,"$50,253"
PHEAR CREATIVE,1,"$100,000"
